Aiol (1);"Leiden, UB, BPL 1049; Brussel, KB, IV 816"
Sibeli;Den Bosch, Archief van het Bisdom, z.s.
Roman van Torec;Den Haag, KB, 129 A 10
Tristan;Wenen, Österr. Nat.bibl., Ser. nova 3968
Seghers Trojeroman;Brussel, KB, IV 927
Seghers Trojeroman;Brussel, KB, 15.589-623
Historie van Troyen;Brussel, KB, IV 927
Historie van Troyen;Brussel, KB, 15.589-623
Historie van Troyen;Utrecht, UB, 1330
Historie van Troyen;"Leiden, UB, Ltk. 181, f.4, f.1-4; Berlijn, Deutsche Staatsbibl., Fragm. 18; Gent, UB, 2749,5"
Historie van Troyen;"Gent, Arch. Bissch. Sem., z.s.; Rotterdam, Gem.bibl., 96 B 6:3"
Historie van Troyen;Antwerpen, O.L.V.-college, 88 C 6
Historie van Troyen;Den Haag, KB, 131 D 4
Historie van Troyen;Gent, Kon. Acad. Ned. Taal- en Letterk., 1
Historie van Troyen;"Parijs, BN, néerl. 126; Gent, UB, 691; Leuven, Coll. J.M. de Smet, z.s."
Historie van Troyen;Gent, UB, 1594
Historie van Troyen;Gent, Kon. Acad. Ned. Taal- en Letterk., 7 bis a
Historie van Troyen;Brussel, KB, IV 209,5
Historie van Troyen;Brussel, KB, IV 1275, 1
Historie van Troyen;Leiden, UB, BPL 2387 
Historie van Troyen;Brussel, Stadsarchief, liasse 698
Historie van Troyen;New Haven Connecticut, Yale University Beinecke Rare Book and Manuscript Library, MS 712.36
Historie van Troyen;Abdijbibliotheek van Berne, z.s.
Valentijn en Nameloos;Berlijn, Staatsbibliotheek Preussischer Kulturbesitz, Germ. fol. 751,3
Valentijn en Nameloos;Gent, UB, 2749,9
Borchgravinne van Vergi (1);Brussel, KB, 15.589-623
Borchgravinne van Vergi (2);Gent, UB, 1590
Roman van Walewein;Leiden, UB, Ltk. 195
Roman van Walewein;Gent, UB, 1619
Walewein ende Keye;Den Haag, KB, 129 A 10
Willem van Oringen;Gent, UB, 2749,10
Van den bere Wisselau;Londen, BL, Egert. 2323, f.3-4
Wrake van Ragisel;Den Haag, KB, 129 A 10
Wrake van Ragisel;Düsseldorf, UB, F 26,a
Wrake van Ragisel;"Düsseldorf, UB, F 26,b; Leiden, UB, BPL 3085"
Ongeïdentificeerd (1);Krakau, Bibl. Jagiellonska (olim Berlijn, Preuss. Staatsbibl., Germ.qu. 1303,1
Ongeïdentificeerd (2);Gent, UB, 1646
Ongeïdentificeerd (3);Leiden, UB, Ltk. 1199
Ongeïdentificeerd (4);Alba Iulia, Bibl. Batthyaneum, z.s. [zoek]
Ongeïdentificeerd (5);Antwerpen, Bibl. Ruusbroecgenootsch., z.s. (1)
Ongeïdentificeerd (6);Antwerpen, Bibl. Ruusbroecgenootsch., z.s. (2)
Ongeïdentificeerd (7);Gent, UB, 173
Ongeïdentificeerd (8);Leiden, UB, BPL 2894
Alexanderroman;Antwerpen, Universiteitsbibliotheek, MAG-P 64.19
Willem van Oringen II;Oxford, Bodleian Library, Ms. Dutch b. 2, fol. 6
Proza-Lancelot;"Rotterdam, gemeentebibliotheek 96 A 7; Rotselaar, Wezemaal, archief van de Sint-Martinuskerk"
