"Edge" "Interior"
"Inga_striata" 1 0
"Inga_thibaudiana" 5 0
"Lonchocarpus_cultratus" 10 4
"Machaerium_fulvovenosum" 46 9
"Machaerium_ovalifolium" 2 1
"Myrocarpus_frondosus" 3 2
"Ormosia_arborea" 1 1
"Ormosia_nitida" 0 1
"Parapiptadenia_pterosperma" 10 5
"Peltogyne_angustiflora" 0 5
"Piptadenia_paniculata" 5 1
"Platymiscium_floribundum" 1 0
"Poecilanthe_falcata" 2 0
"Pseudopiptadenia_contorta" 23 3
"Pseudopiptadenia_psilostachya" 8 5
"Pterocarpus_rohrii" 18 15
"Swartzia_acutifolia" 1 3
"Swartzia_apetala" 5 12
"Swartzia_linharensis" 2 1
"Swartzia_myrtifolia" 2 1
"Swartzia_simplex" 10 11
"Sweetia_fruticosa" 4 1
"Tachigali_pilgeriana" 7 2
"Vatairea_heteroptera" 5 6
"Vataireopsis_araroba" 1 0
"Zollernia_latifolia" 3 1
"Zollernia_modesta" 4 6
"Humiriastrum_sp" 0 2
"Emmotum_aff_nitens" 0 5
"Vitex_aff_megapotamica" 0 1
"Vitex_montevidensis" 2 2
"Aniba_canellila" 0 1
"Aniba_firmula" 1 1
"Beilschmiedia_linharensis" 4 4
"Cryptocarya_citriformis" 1 0
"Cryptocarya_saligna" 1 0
"Lauraceae_sp" 0 1
"Licaria_bahiana" 1 3
"Ocotea_argentea" 1 0
"Ocotea_conferta" 0 1
"Ocotea_confertiflora" 7 10
"Ocotea_elegans" 3 16
"Ocotea_lancifolia" 3 2
"Ocotea_leucoxylon" 1 0
"Ocotea_nitida" 1 1
"Ocotea_nutans" 0 1
"Ocotea_odorifera" 1 3
"Ocotea_pluridomatiata" 1 0
"Ocotea_sp" 0 6
"Cariniana_estrellensis" 0 1
"Cariniana_legalis" 1 11
"Couratari_asterotricha" 20 11
"Couratari_macrosperma" 3 3
"Eschweilera_ovata" 5 19
"Lecythis_lanceolata" 9 5
"Lecythis_lurida" 19 13
"Lecythis_pisonis" 0 4
"Lecythis_sp" 1 3
"Byrsonima_cacaophila" 0 2
"Byrsonima_stipulacea" 1 3
"Ceiba_pubiflora" 1 1
"Eriotheca_candolleana" 3 6
"Eriotheca_macrophylla" 19 27
"Guazuma_crinita" 8 1
"Luehea_mediterranea" 13 3
"Pachira_stenopetala" 1 3
"Pavonia_crassipedicellata" 2 1
"Pseudobombax_longiflorum" 4 4
"Pterygota_brasiliensis" 9 4
"Quararibea_penduliflora" 15 25
"Sterculia_elata" 1 1
"Sterculia_speciosa" 16 20
"Miconia_cf_cinnamomifolia" 1 0
"Miconia_cf_rimalis" 0 1
"Miconia_lepidota" 1 0
"Miconia_prasina" 1 0
"Mouriri_arborea" 0 4
"Mouriri_glazioviana" 0 3
"Cedrela_odorata" 3 0
"Guarea_juglandiformis" 1 1
"Guarea_penningtoniana" 0 3
"Trichilia_surumuensis" 1 8
"Trichilia_casaretti" 49 19
"Trichilia_elegans" 0 1
"Trichilia_lepidota" 21 21
"Trichilia_pallens" 8 10
"Trichilia_quadrijuga" 3 13
"Trichilia_silvatica" 1 5
"Trichilia_sp" 16 6
"Mollinedia_marquetiana" 2 2
"Mollinedia_ovata" 0 1
"Brosimum_glaucum" 23 15
"Brosimum_sp1" 0 3
"Brosimum_sp2" 0 1
"Clarisia_sp" 5 10
"Clarisia_racemosa" 4 5
"Ficus_cyclophylla" 0 1
"Ficus_gomelleira" 1 2
"Ficus_mariae" 1 5
"Ficus_nymphaeifolia" 0 1
"Helicostylis_sp" 2 6
"Naucleopsis_oblongifolia" 4 11
"Sorocea_guilleminiana" 14 32
"Virola_gardneri" 12 27
"Blepharocalyx_eggersii" 1 0
"Calyptranthes_lucida" 2 21
"Campomanesia_espiritosantensis" 0 5
"Campomanesia_guazumifolia" 3 7
"Campomanesia_lineatifolia" 4 1
"Eugenia_bahiensis" 0 2
"Eugenia_batingabranca" 0 8
"Eugenia_beaurepaireana" 4 5
"Eugenia_brasiliensis" 0 3
"Eugenia_cf_badia" 2 8
"Eugenia_cf_moonioides" 1 3
"Eugenia_cf_tinguyensis" 16 35
"Eugenia_excelsa" 13 14
"Eugenia_fluminensis" 0 16
"Eugenia_gemmiflora" 0 3
"Eugenia_handroi" 0 2
"Eugenia_itapemirimensis" 7 20
"Eugenia_ligustrina" 1 1
"Eugenia_macrosperma" 3 7
"Eugenia_platyphylla" 32 21
"Eugenia_platysema" 3 5
"Eugenia_plicatocostata" 1 0
"Eugenia_prasina" 7 18
"Eugenia_sp1" 1 3
"Eugenia_sp2" 0 2
"Eugenia_sp3" 0 1
"Eugenia_sp4" 1 0
"Eugenia_sp5" 2 2
"Eugenia_sp6" 1 0
"Eugenia_sp7" 0 6
"Eugenia_sp8" 1 1
"Eugenia_subterminalis" 3 21
"Gomidesia_martiana" 1 0
"Marlierea_estrellensis" 0 4
"Marlierea_excoriata" 1 1
"Marlierea_grandifolia" 2 1
"Marlierea_obversa" 3 1
"Marlierea_sucrei" 3 7
"Marlierea_clausseniana" 2 5
"Myrcia_eumecephylla" 0 1
"Myrcia_fallax" 3 2
"Myrcia_follii" 0 1
"Myrcia_isaiana" 0 1
"Myrcia_lineata" 4 4
"Myrcia_sp" 0 1
"Myrcia_riodocensis" 2 2
"Myrcia_rostrata" 0 3
"Myrciaria_aureana" 0 1
"Myrciaria_ferruginea" 1 0
"Myrciaria_floribunda" 6 20
"Myrciaria_tenella" 1 0
"Myrtaceae_sp" 2 0
"Neomitranthes_langsdorffii" 6 6
"Plinia_grandifolia" 1 1
"Plinia_involucrata" 3 34
"Plinia_renatiana" 0 19
"Plinia_stictophylla" 1 1
"Psidium_cauliflorum" 0 1
"Psidium_longipetiolatum" 1 0
"Psidium_oblongatum" 4 5
"Psidium_sartorianum" 0 2
"Guapira_noxia" 6 4
"Guapira_opposita" 20 16
"Guapira_venosa" 4 4
"Neea_floribunda" 2 1
"Pisonia_aff_ambigua" 1 5
"Ouratea_cuspidata" 0 1
"Ouratea_sp" 0 1
"Dulacia_sp" 0 1
"Heisteria_cf_ovata" 1 4
"Heisteria_sp" 1 0
"Margaritaria_nobilis" 4 2
"Picramnia_ramiflora" 0 1
"Picramnia_sellowii" 0 1
"Polygala_pulcherrima" 2 2
"Coccoloba_tenuiflora" 5 1
"Coccoloba_warmingii" 2 1
"Drypetes_sp_" 2 5
"Rhamnidium_glabrum" 4 0
"Ziziphus_glaziovii" 3 6
"Alseis_involuta" 10 0
"Amaioua_intermedia" 0 1
"Calycophyllum_papillosum" 0 1
"Chomelia_pubescens" 1 1
"Coussarea_contracta" 0 4
"Coutarea_sp" 0 1
"Duroia_valesca" 2 1
"Guettarda_angelica" 6 0
"Ixora_warmingii" 4 2
"Melanopsidium_nigrum" 1 1
"Molopanthera_paniculata" 0 1
"Posoqueria_latifolia" 0 4
"Psychotria_sp" 0 1
"Randia_armata" 7 4
"Rudgea_sp" 0 1
"Simira_glaziovii" 1 3
"Simira_grazielae" 3 2
"Simira_sampaioana" 3 1
"Angostura_bracteata" 1 0
"Esenbeckia_grandiflora" 0 3
"Galipea_cf_laxiflora" 5 14
"Metrodorea_maracasana" 2 12
"Neoraputia_alba" 28 23
"Ravenia_infelix" 2 4
"Zanthoxylum_aff_retusum" 1 0
"Casearia_arborea" 1 0
"Casearia_commersoniana" 3 4
"Casearia_javitensis" 2 0
"Casearia_oblongifolia" 5 2
"Casearia_sp1" 6 1
"Casearia_sp2" 10 5
"Casearia_sp3" 0 1
"Casearia_sp4" 1 0
"Casearia_sylvestris" 1 0
"Casearia_ulmifolia" 3 4
"Allophylus_petiolulatus" 45 8
"Cupania_cf_scrobiculata" 14 9
"Cupania_emarginata" 1 1
"Cupania_oblongifolia" 2 0
"Cupania_rugosa" 5 4
"Cupania_sp" 1 0
"Dilodendron_elegans" 0 1
"Matayba_discolor" 1 0
"Matayba_guianensis" 3 2
"Melicoccus_espiritosantensis" 4 1
"Pseudima_frutescens" 6 8
"Sapindaceae_sp" 1 0
"Talisia_intermedia" 6 2
"Toulicia_patentinervis" 0 2
"Chrysophyllum_gonocarpum" 7 10
"Chrysophyllum_januariense" 3 4
"Chrysophyllum_lucentifolium" 11 5
"Chrysophyllum_sp" 0 1
"Chrysophyllum_splendens" 3 4
"Ecclinusa_ramiflora" 13 28
"Manilkara_bella" 4 4
"Manilkara_salzmannii" 2 4
"Micropholis_aff_gnaphaloclados" 3 1
"Micropholis_crassipedicellata" 1 1
"Micropholis_cuneata" 2 1
"Micropholis_gardneriana" 1 4
"Pouteria_aff_bapeba" 3 1
"Pouteria_aff_filipes" 9 8
"Pouteria_bangii" 7 4
"Pouteria_bullata" 1 3
"Pouteria_butyrocarpa" 1 1
"Pouteria_coelomatica" 5 1
"Pouteria_durlandii" 0 2
"Pouteria_hispida" 14 12
"Pouteria_macrophylla" 2 1
"Pouteria_macrostachiosa" 2 7
"Pouteria_pachycalyx" 0 1
"Pouteria_psammophila" 1 2
"Pouteria_reticulata" 6 6
"Pouteria_sp1" 4 0
"Pouteria_sp2" 2 0
"Pouteria_sp3" 0 1
"Pouteria_venosa" 6 2
"Pradosia_lactescens" 14 6
"Schoepfia_brasiliensis" 4 1
"Schoepfia_obliquifolia" 3 10
"Simaba_cedron" 3 1
"Simaba_subcymosa" 1 1
"Simarouba_sp" 4 3
"Siparuna_reginae" 0 2
"Solanum_sooretamum" 17 2
"Styrax_glabratum" 0 1
"Symplocos_pycnobotrya" 1 0
"Ampelocera_glabra" 1 4
"Cecropia_glaziovi" 2 0
"Cecropia_hololeuca" 1 0
"Coussapoa_curranii" 0 3
"Pourouma_guianensis" 1 0
"Pourouma_mollis" 0 1
"Aegiphila_verticillata" 0 1
"Amphirrhox_longifolia" 1 6
"Paypayrola_blanchetiana" 1 2
"Rinorea_bahiensis" 36 123
"Rinorea_sp" 1 6
"Qualea_jundiahy" 0 2
"Qualea_megalocarpa" 3 3
"Vochysia_angelica" 2 3
